web_scraper_order,web_scraper_start_url,pagination,review,timestamp
"1780167045-38","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-05-02 10:32 | Variasi: Silver"
"1780167045-39","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-10-15 08:01 | Variasi: Silver"
"1780167045-40","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-10-09 23:17 | Variasi: Silver"
"1780167045-41","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-02-14 15:09 | Variasi: Oren"
"1780167045-42","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-11-19 23:34 | Variasi: Silver"
"1780167045-43","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-03-17 09:47 | Variasi: Hitam"
"1780167045-44","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-12-27 18:05 | Variasi: Oren"
"1780167045-45","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2026-04-01 19:53 | Variasi: Hitam"
"1780167045-46","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-12-30 20:09 | Variasi: Navy"
"1780167045-47","https://shopee.co.id/Mini-Smartphone-ip17pro-max-mini-Garansi-Kapasitas-baterai-2600mah-i.1355557233.43215501742?extraParams=%7B%22display_model_id%22%3A435782375347%2C%22model_selection_logic%22%3A3%7D","","","2025-10-05 17:50 | Variasi: Grey"
