web_scraper_order,web_scraper_start_url,pagination,review,timestamp
"1780196867-23","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Trimakasih banyak seller atas fast respon ya. Terimakasih barang mendarat dengan sempurna
Trimakasih lengkap dengan charger,hansed, temper glass,dan casing
Packaging aman pooolllll.
Tokonya amanah semgha lain kali bisa order lgi
Order di tgl 10 datang di tgl 24. Bukan karena seller nya tp xpedisi yang GK konsisten. Semgha kedepanya pilihan xpedisi lebih bagus lagi. Mungkin lain daerah lain juga kinerjanya. Sekali lagi makasi ya seller. Suksess sll","2026-04-25 20:14 | Variasi: Pink,8/256"
"1780196867-24","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Terima kasih seller dan kurir","2026-02-15 09:50 | Variasi: Merah,8/256"
"1780196867-25","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Alhamdulillah paketan udah datang dengan selamat dan aman pekingnya mantap pokoknya tokonya amanah sesuai pesanan Joss mantap makasih selernya makasih tokonya semoga sukses selalu..","2026-04-15 19:34 | Variasi: Biru,8/256"
"1780196867-26","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Alhamdulillah berfungsi dengan baik, barangnya masih di segel dan sesuai dengan deskripsi. Semoga awet barangnya.. terimakasih seller","2026-05-02 06:36 | Variasi: Merah,8/256"
"1780196867-27","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Barang sudah sampai di rumah aman barang dicek normal semua kwalitas bagus harga murah nanti mau ambil lgi","2026-02-08 19:12 | Variasi: Biru Muda,8/256"
"1780196867-28","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Tidak ada stiker tanda baru atas layar.temperglass sudah terpasang","2026-02-09 16:52 | Variasi: Biru Muda,8/256"
"1780196867-29","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Cepet sampai nya udh di coba berpungsi dengan baik...","2026-05-06 08:44 | Variasi: Pink,8/256"
"1780196867-30","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","pokoknya jangan ragu rangu pesen di toko ini,karna sudah di jamin aman dan terpercaya","2026-05-10 09:19 | Variasi: Pink,8/256"
"1780196867-31","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Alhamdulillah pesanan telah sampai kualitas pesanan sesuai ekspektasi","2026-02-17 18:21 | Variasi: Biru,8/256"
"1780196867-32","https://shopee.co.id/Vivo-Y17-8GB-256GB-6.35-4G-LTE-5000mAh-i.22241652.41978145859?extraParams=%7B%22display_model_id%22%3A415454859694%2C%22model_selection_logic%22%3A3%7D&sp_atk=33dcc5d1-5027-4608-b74e-e4575fde0515&xptdk=33dcc5d1-5027-4608-b74e-e4575fde0515","","Alhmdulillah barang smpai dlm keadaan baik.normal.. Lengkap. Toko amanah.. 
.","2026-02-09 15:10 | Variasi: Biru,8/256"
